Customer ID,Total_Orders,Total_Revenue,Total_Units,Unique_Products,Recency_Days,Customer_Lifetime_Days,Average_Order_Value,Average_Units_Per_Order,Average_Products_Per_Order,Orders_Per_Month,Revenue_Segment,Activity_Segment
12394.0,2,1272.48,819,26,64,153,636.24,409.5,13.0,0.3278688524590164,High,Recently Inactive
12395.0,12,3018.63,2118,91,19,351,251.5525,176.5,7.583333333333333,0.9448818897637796,Very High,Active
12397.0,2,2409.9,1263,110,36,99,1204.95,631.5,55.0,0.46511627906976744,Very High,Recently Inactive
12398.0,1,1635.6599999999999,1394,85,46,0,1635.6599999999999,1394.0,85.0,1.0,High,Recently Inactive
12399.0,4,1108.65,1178,47,119,142,277.1625,294.5,11.75,0.6976744186046512,High,At Risk
12401.0,1,84.3,11,5,303,0,84.3,11.0,5.0,1.0,Low,Inactive
12402.0,1,225.60000000000002,94,11,323,0,225.60000000000002,94.0,11.0,1.0,Low,Inactive
12403.0,1,427.7,96,5,50,0,427.7,96.0,5.0,1.0,Medium,Recently Inactive
12405.0,1,1710.39,857,54,149,0,1710.39,857.0,54.0,1.0,Very High,At Risk
12406.0,2,3415.3,1818,92,22,161,1707.65,909.0,46.0,0.31413612565445026,Very High,Active
12407.0,5,1708.12,1416,57,50,214,341.62399999999997,283.2,11.4,0.6147540983606558,Very High,Recently Inactive
12408.0,5,2888.55,1409,81,33,227,577.71,281.8,16.2,0.5836575875486382,Very High,Recently Inactive
12409.0,3,11072.67,5551,91,79,103,3690.89,1850.3333333333333,30.333333333333332,0.6766917293233082,Very High,Recently Inactive
12410.0,2,693.33,211,26,309,0,346.665,105.5,13.0,2.0,High,Inactive
12412.0,3,1226.88,829,43,75,94,408.96000000000004,276.3333333333333,14.333333333333334,0.7258064516129034,High,Recently Inactive
12413.0,3,758.1,286,29,67,270,252.70000000000002,95.33333333333333,9.666666666666666,0.3,High,Recently Inactive
12414.0,3,562.4100000000001,300,16,217,93,187.47000000000003,100.0,5.333333333333333,0.7317073170731708,Medium,Inactive
12415.0,21,124914.53,77374,444,24,313,5948.310952380953,3684.4761904761904,21.142857142857142,1.836734693877551,Very High,Active
12417.0,9,3649.1,1552,158,3,354,405.4555555555555,172.44444444444446,17.555555555555557,0.703125,Very High,Active
12418.0,1,668.58,407,34,113,0,668.58,407.0,34.0,1.0,High,At Risk
12420.0,1,600.39,345,29,64,0,600.39,345.0,29.0,1.0,Medium,Recently Inactive
12421.0,4,807.04,484,32,16,303,201.76,121.0,8.0,0.3603603603603604,High,Active
12422.0,3,803.5600000000001,370,39,96,229,267.85333333333335,123.33333333333333,13.0,0.3474903474903475,High,At Risk
12423.0,8,1859.31,1339,97,1,352,232.41375,167.375,12.125,0.6282722513089005,Very High,Active
12424.0,2,1760.96,740,30,163,0,880.48,370.0,15.0,2.0,Very High,At Risk
12425.0,1,777.2,496,36,78,0,777.2,496.0,36.0,1.0,High,Recently Inactive
12426.0,1,582.73,258,30,195,0,582.73,258.0,30.0,1.0,Medium,Inactive
12427.0,3,825.8000000000001,533,26,22,349,275.2666666666667,177.66666666666666,8.666666666666666,0.237467018469657,High,Active
12428.0,8,7405.26,3534,257,26,257,925.6575,441.75,32.125,0.8362369337979094,Very High,Active
12429.0,4,3750.4,1557,82,9,356,937.6,389.25,20.5,0.31088082901554404,Very High,Active
12430.0,1,256.4,117,11,43,0,256.4,117.0,11.0,1.0,Low,Recently Inactive
12431.0,15,6419.95,2896,163,36,338,427.99666666666667,193.06666666666666,10.866666666666667,1.2228260869565217,Very High,Recently Inactive
12432.0,5,5059.32,1801,107,43,129,1011.8639999999999,360.2,21.4,0.9433962264150944,Very High,Recently Inactive
12433.0,7,13375.87,11071,219,1,372,1910.8385714285716,1581.5714285714287,31.285714285714285,0.5223880597014925,Very High,Active
12434.0,2,806.14,394,46,85,175,403.07,197.0,23.0,0.29268292682926833,High,Recently Inactive
12435.0,2,7829.89,2055,31,80,188,3914.945,1027.5,15.5,0.27522935779816515,Very High,Recently Inactive
12436.0,1,509.01,211,16,100,0,509.01,211.0,16.0,1.0,Medium,At Risk
12437.0,18,4951.41,2922,118,2,329,275.0783333333333,162.33333333333334,6.555555555555555,1.5041782729805013,Very High,Active
12438.0,2,2906.85,1180,84,14,125,1453.425,590.0,42.0,0.3870967741935484,Very High,Active
12441.0,1,173.55,121,11,367,0,173.55,121.0,11.0,1.0,Low,Inactive
12442.0,1,172.06,182,12,3,0,172.06,182.0,12.0,1.0,Low,Active
12444.0,5,5005.46,1153,138,21,149,1001.092,230.6,27.6,0.8379888268156425,Very High,Active
12445.0,1,133.4,62,4,22,0,133.4,62.0,4.0,1.0,Low,Active
12446.0,1,1002.3100000000001,351,57,58,0,1002.3100000000001,351.0,57.0,1.0,High,Recently Inactive
12447.0,1,476.49,190,26,243,0,476.49,190.0,26.0,1.0,Medium,Inactive
12448.0,1,449.45,243,22,44,0,449.45,243.0,22.0,1.0,Medium,Recently Inactive
12449.0,4,4067.29,1553,118,22,164,1016.8225,388.25,29.5,0.6185567010309279,Very High,Active
12450.0,2,197.88,128,7,156,17,98.94,64.0,3.5,1.2765957446808511,Low,At Risk
12451.0,5,9035.52,6575,265,11,313,1807.104,1315.0,53.0,0.43731778425655976,Very High,Active
12452.0,2,430.57000000000005,185,21,17,0,215.28500000000003,92.5,10.5,2.0,Medium,Active
12453.0,1,707.09,473,43,134,0,707.09,473.0,43.0,1.0,High,At Risk
12454.0,1,3528.34,1006,15,56,0,3528.34,1006.0,15.0,1.0,Very High,Recently Inactive
12455.0,6,2466.86,2089,85,73,223,411.1433333333334,348.1666666666667,14.166666666666666,0.7114624505928854,Very High,Recently Inactive
12456.0,3,3181.04,1633,105,44,210,1060.3466666666666,544.3333333333334,35.0,0.375,Very High,Recently Inactive
12457.0,7,2363.23,843,53,66,172,337.6042857142857,120.42857142857143,7.571428571428571,1.0396039603960396,Very High,Recently Inactive
12458.0,2,947.4,506,35,71,213,473.7,253.0,17.5,0.2469135802469136,High,Recently Inactive
12461.0,2,826.88,287,35,94,60,413.44,143.5,17.5,0.6666666666666666,High,At Risk
12462.0,2,1189.59,536,51,19,284,594.795,268.0,25.5,0.19108280254777069,High,Active
12463.0,4,1344.78,776,65,53,188,336.195,194.0,16.25,0.5504587155963303,High,Recently Inactive
12464.0,8,1212.05,112,6,10,299,151.50625,14.0,0.75,0.729483282674772,High,Active
12465.0,2,742.19,479,46,17,152,371.095,239.5,23.0,0.32967032967032966,High,Active
12468.0,2,729.54,366,36,188,128,364.77,183.0,18.0,0.379746835443038,High,Inactive
12471.0,29,19758.65,8199,149,2,362,681.3327586206897,282.7241379310345,5.137931034482759,2.2193877551020407,Very High,Active
12472.0,7,6572.11,4148,219,32,336,938.8728571428571,592.5714285714286,31.285714285714285,0.5737704918032788,Very High,Recently Inactive
12473.0,3,2873.73,2410,139,54,138,957.91,803.3333333333334,46.333333333333336,0.5357142857142857,Very High,Recently Inactive
12474.0,18,7324.09,4833,253,17,312,406.8938888888889,268.5,14.055555555555555,1.5789473684210527,Very High,Active
12475.0,1,723.38,535,36,54,0,723.38,535.0,36.0,1.0,High,Recently Inactive
12476.0,11,6816.42,2408,177,16,345,619.6745454545454,218.9090909090909,16.09090909090909,0.88,Very High,Active
12477.0,6,13219.74,3653,191,23,278,2203.29,608.8333333333334,31.833333333333332,0.5844155844155844,Very High,Active
12478.0,1,680.99,236,36,4,0,680.99,236.0,36.0,1.0,High,Active
12479.0,1,527.2,385,31,11,0,527.2,385.0,31.0,1.0,Medium,Active
12480.0,4,3281.63,1707,129,28,307,820.4075,426.75,32.25,0.3560830860534125,Very High,Active
12481.0,10,5579.82,3294,150,23,342,557.982,329.4,15.0,0.8064516129032258,Very High,Active
12483.0,8,2484.98,1110,46,17,322,310.6225,138.75,5.75,0.6818181818181819,Very High,Active
12484.0,6,4527.32,2187,256,33,303,754.5533333333333,364.5,42.666666666666664,0.5405405405405406,Very High,Recently Inactive
12488.0,3,1298.66,529,46,10,65,432.8866666666667,176.33333333333334,15.333333333333334,0.9473684210526316,High,Active
12489.0,1,334.93,105,15,336,0,334.93,105.0,15.0,1.0,Medium,Inactive
12490.0,10,5417.93,3064,131,5,324,541.793,306.4,13.1,0.847457627118644,Very High,Active
12491.0,1,460.40000000000003,260,25,39,0,460.40000000000003,260.0,25.0,1.0,Medium,Recently Inactive
12492.0,2,263.21000000000004,192,19,63,42,131.60500000000002,96.0,9.5,0.8333333333333334,Low,Recently Inactive
12493.0,2,433.74,207,20,166,31,216.87,103.5,10.0,0.9836065573770493,Medium,At Risk
12494.0,7,1246.1,707,63,16,349,178.0142857142857,101.0,9.0,0.554089709762533,High,Active
12497.0,1,1043.1,1236,14,82,0,1043.1,1236.0,14.0,1.0,High,Recently Inactive
12498.0,3,403.70000000000005,159,21,21,36,134.5666666666667,53.0,7.0,1.3636363636363635,Medium,Active
12500.0,11,4257.82,2678,34,23,310,387.07454545454544,243.45454545454547,3.090909090909091,0.9705882352941176,Very High,Active
12501.0,1,2169.39,1783,149,337,0,2169.39,1783.0,149.0,1.0,Very High,Inactive
12502.0,5,3723.87,820,102,96,214,744.774,164.0,20.4,0.6147540983606558,Very High,At Risk
12504.0,2,482.04999999999995,90,6,18,12,241.02499999999998,45.0,3.0,1.4285714285714286,Medium,Active
12506.0,1,73.5,23,23,233,0,73.5,23.0,23.0,1.0,Low,Inactive
12507.0,3,1304.81,894,19,134,164,434.93666666666667,298.0,6.333333333333333,0.4639175257731959,High,At Risk
12508.0,2,397.88,271,57,26,2,198.94,135.5,28.5,1.875,Medium,Active
12509.0,1,176.5,55,7,284,0,176.5,55.0,7.0,1.0,Low,Inactive
12510.0,2,982.5699999999999,353,29,143,182,491.28499999999997,176.5,14.5,0.2830188679245283,High,At Risk
12512.0,2,132.18,96,31,66,0,66.09,48.0,15.5,2.0,Low,Recently Inactive
12513.0,1,612.29,462,35,113,0,612.29,462.0,35.0,1.0,Medium,At Risk
12514.0,1,1017.6800000000001,440,51,267,0,1017.6800000000001,440.0,51.0,1.0,High,Inactive
12515.0,1,383.7,131,16,353,0,383.7,131.0,16.0,1.0,Medium,Inactive
12516.0,2,1312.06,875,20,78,102,656.03,437.5,10.0,0.45454545454545453,High,Recently Inactive
12517.0,5,2481.6,1361,232,28,161,496.32,272.2,46.4,0.7853403141361257,Very High,Active
12518.0,5,2056.89,1318,84,1,109,411.378,263.6,16.8,1.0791366906474822,Very High,Active
12519.0,1,330.84000000000003,175,17,64,0,330.84000000000003,175.0,17.0,1.0,Medium,Recently Inactive
12520.0,5,2634.26,1439,121,79,194,526.8520000000001,287.8,24.2,0.6696428571428571,Very High,Recently Inactive
12521.0,1,599.68,309,38,143,0,599.68,309.0,38.0,1.0,Medium,At Risk
12522.0,2,192.72,194,11,39,12,96.36,97.0,5.5,1.4285714285714286,Low,Recently Inactive
12523.0,11,1789.77,865,84,19,312,162.70636363636365,78.63636363636364,7.636363636363637,0.9649122807017544,Very High,Active
12524.0,8,4485.72,3699,113,9,324,560.715,462.375,14.125,0.6779661016949152,Very High,Active
12526.0,3,1316.66,632,64,1,93,438.8866666666667,210.66666666666666,21.333333333333332,0.7317073170731708,High,Active
12527.0,3,348.71000000000004,234,18,82,243,116.23666666666668,78.0,6.0,0.32967032967032966,Medium,Recently Inactive
12528.0,6,1933.48,756,50,9,303,322.24666666666667,126.0,8.333333333333334,0.5405405405405406,Very High,Active
12530.0,4,1662.28,913,51,60,277,415.57,228.25,12.75,0.39087947882736157,Very High,Recently Inactive
12531.0,1,125.22,45,17,15,0,125.22,45.0,17.0,1.0,Low,Active
12532.0,1,349.83000000000004,153,16,30,0,349.83000000000004,153.0,16.0,1.0,Medium,Active
12534.0,1,1089.18,651,63,131,0,1089.18,651.0,63.0,1.0,High,At Risk
12535.0,2,716.35,219,28,92,94,358.175,109.5,14.0,0.48387096774193555,High,At Risk
12536.0,1,4279.71,2801,259,59,0,4279.71,2801.0,259.0,1.0,Very High,Recently Inactive
12538.0,1,363.95,191,21,29,0,363.95,191.0,21.0,1.0,Medium,Active
12539.0,4,5568.35,2067,157,22,311,1392.0875,516.75,39.25,0.3519061583577712,Very High,Active
12540.0,17,13400.24,6685,277,20,342,788.2494117647059,393.2352941176471,16.294117647058822,1.3709677419354838,Very High,Active
12541.0,3,981.18,680,46,30,251,327.06,226.66666666666666,15.333333333333334,0.32028469750889677,High,Active
12544.0,1,372.7,136,19,36,0,372.7,136.0,19.0,1.0,Medium,Recently Inactive
12545.0,2,1000.39,523,42,75,184,500.195,261.5,21.0,0.2803738317757009,High,Recently Inactive
12546.0,2,1161.5,633,59,47,31,580.75,316.5,29.5,0.9836065573770493,High,Recently Inactive
12547.0,2,207.8,134,7,198,82,103.9,67.0,3.5,0.5357142857142857,Low,Inactive
12548.0,1,95.19999999999999,49,5,166,0,95.19999999999999,49.0,5.0,1.0,Low,At Risk
12550.0,1,964.83,569,57,79,0,964.83,569.0,57.0,1.0,High,Recently Inactive
12551.0,1,168.0,100,10,358,0,168.0,100.0,10.0,1.0,Low,Inactive
12552.0,2,437.82,88,20,39,0,218.91,44.0,10.0,2.0,Medium,Recently Inactive
12553.0,10,3692.28,1965,95,8,321,369.228,196.5,9.5,0.8547008547008548,Very High,Active
12556.0,2,599.56,355,100,50,100,299.78,177.5,50.0,0.46153846153846145,Medium,Recently Inactive
12557.0,5,11990.960000000001,4384,15,16,355,2398.192,876.8,3.0,0.3896103896103896,Very High,Active
12558.0,1,269.96,196,11,8,0,269.96,196.0,11.0,1.0,Low,Active
12559.0,2,561.71,283,21,311,8,280.855,141.5,10.5,1.5789473684210527,Medium,Inactive
12560.0,3,2134.01,1110,91,5,137,711.3366666666667,370.0,30.333333333333332,0.5389221556886228,Very High,Active
12561.0,1,238.85,177,16,303,0,238.85,177.0,16.0,1.0,Low,Inactive
12562.0,7,3781.7400000000002,1779,99,8,190,540.2485714285715,254.14285714285714,14.142857142857142,0.9545454545454546,Very High,Active
12564.0,1,456.90000000000003,133,21,261,0,456.90000000000003,133.0,21.0,1.0,Medium,Inactive
12565.0,1,145.92000000000002,80,9,289,0,145.92000000000002,80.0,9.0,1.0,Low,Inactive
12566.0,1,351.65,265,19,86,0,351.65,265.0,19.0,1.0,Medium,Recently Inactive
12567.0,10,9401.28,4305,323,23,346,940.128,430.5,32.3,0.7978723404255319,Very High,Active
12569.0,32,4124.6900000000005,1801,92,2,250,128.89656250000002,56.28125,2.875,3.4285714285714284,Very High,Active
12571.0,2,519.61,523,31,40,81,259.805,261.5,15.5,0.5405405405405405,Medium,Recently Inactive
12572.0,2,1020.4200000000001,452,53,9,43,510.21000000000004,226.0,26.5,0.821917808219178,High,Active
12573.0,1,160.54000000000002,84,26,227,0,160.54000000000002,84.0,26.0,1.0,Low,Inactive
12574.0,1,218.45000000000002,61,11,316,0,218.45000000000002,61.0,11.0,1.0,Low,Inactive
12576.0,5,1315.83,967,72,36,268,263.166,193.4,14.4,0.5033557046979865,High,Recently Inactive
12577.0,3,622.65,468,136,35,323,207.54999999999998,156.0,45.333333333333336,0.254957507082153,Medium,Recently Inactive
12578.0,2,2794.51,1196,111,21,308,1397.255,598.0,55.5,0.17751479289940827,Very High,Active
12579.0,1,440.42,285,29,78,0,440.42,285.0,29.0,1.0,Medium,Recently Inactive
12580.0,1,415.7,238,24,247,0,415.7,238.0,24.0,1.0,Medium,Inactive
12581.0,1,197.71,161,15,40,0,197.71,161.0,15.0,1.0,Low,Recently Inactive
12582.0,2,511.36,300,21,239,49,255.68,150.0,10.5,0.759493670886076,Medium,Inactive
12583.0,15,7281.38,5060,115,3,370,485.42533333333336,337.3333333333333,7.666666666666667,1.125,Very High,Active
12584.0,9,2338.15,416,44,4,276,259.7944444444445,46.22222222222222,4.888888888888889,0.8823529411764707,Very High,Active
12585.0,2,2040.1,1279,77,234,117,1020.05,639.5,38.5,0.4081632653061224,Very High,Inactive
12586.0,1,196.94000000000003,79,11,17,0,196.94000000000003,79.0,11.0,1.0,Low,Active
12587.0,1,144.0,51,4,8,0,144.0,51.0,4.0,1.0,Low,Active
12588.0,1,214.89999999999998,53,10,39,0,214.89999999999998,53.0,10.0,1.0,Low,Recently Inactive
12589.0,2,646.68,306,29,29,115,323.34,153.0,14.5,0.4137931034482758,Medium,Active
12590.0,2,9864.26,4283,68,211,0,4932.13,2141.5,34.0,2.0,Very High,Inactive
12591.0,1,452.84999999999997,228,26,317,0,452.84999999999997,228.0,26.0,1.0,Medium,Inactive
12592.0,2,437.6,290,11,92,121,218.8,145.0,5.5,0.3973509933774835,Medium,At Risk
12593.0,3,418.1,206,14,109,110,139.36666666666667,68.66666666666667,4.666666666666667,0.6428571428571429,Medium,At Risk
12594.0,10,3338.2200000000003,1777,50,38,285,333.822,177.7,5.0,0.9523809523809523,Very High,Recently Inactive
12596.0,2,618.27,474,25,51,190,309.135,237.0,12.5,0.27272727272727276,Medium,Recently Inactive
12597.0,4,3811.22,2236,184,19,248,952.805,559.0,46.0,0.4316546762589928,Very High,Active
12598.0,8,3023.08,1964,84,10,275,377.885,245.5,10.5,0.7868852459016394,Very High,Active
12599.0,7,1032.58,956,32,29,275,147.51142857142855,136.57142857142858,4.571428571428571,0.6885245901639344,High,Active
12600.0,10,2599.04,774,32,29,342,259.904,77.4,3.2,0.8064516129032258,Very High,Active
12601.0,5,577.0600000000001,245,21,190,142,115.412,49.0,4.2,0.872093023255814,Medium,Inactive
12602.0,1,153.12,162,12,59,0,153.12,162.0,12.0,1.0,Low,Recently Inactive
12603.0,1,739.1999999999999,63,2,22,0,739.1999999999999,63.0,2.0,1.0,High,Active
12604.0,2,254.18,201,15,79,182,127.09,100.5,7.5,0.2830188679245283,Low,Recently Inactive
12607.0,1,1579.51,1228,101,60,0,1579.51,1228.0,101.0,1.0,High,Recently Inactive
12609.0,3,1126.85,648,57,78,240,375.6166666666666,216.0,19.0,0.3333333333333333,High,Recently Inactive
12610.0,5,2099.54,1049,85,23,103,419.908,209.8,17.0,1.1278195488721805,Very High,Active
12611.0,1,1193.32,846,65,52,0,1193.32,846.0,65.0,1.0,High,Recently Inactive
12612.0,1,704.04,262,19,74,0,704.04,262.0,19.0,1.0,High,Recently Inactive
12613.0,5,3344.38,1644,124,57,204,668.876,328.8,24.8,0.6410256410256411,Very High,Recently Inactive
12614.0,1,315.6,76,20,278,0,315.6,76.0,20.0,1.0,Medium,Inactive
12615.0,4,2291.19,1376,82,2,166,572.7975,344.0,20.5,0.6122448979591837,Very High,Active
12616.0,2,713.3,284,25,95,202,356.65,142.0,12.5,0.25862068965517243,High,At Risk
12617.0,1,352.98,210,39,29,0,352.98,210.0,39.0,1.0,Medium,Active
12618.0,1,177.31,96,11,22,0,177.31,96.0,11.0,1.0,Low,Active
12619.0,8,3251.56,3377,49,16,237,406.445,422.125,6.125,0.898876404494382,Very High,Active
12620.0,3,1339.41,1181,89,15,189,446.47,393.6666666666667,29.666666666666668,0.4109589041095891,High,Active
12621.0,20,13689.67,7440,261,2,364,684.4835,372.0,13.05,1.5228426395939088,Very High,Active
12622.0,1,180.1,69,11,232,0,180.1,69.0,11.0,1.0,Low,Inactive
12623.0,1,305.1,191,18,276,0,305.1,191.0,18.0,1.0,Low,Inactive
12624.0,2,641.13,355,36,106,71,320.565,177.5,18.0,0.594059405940594,Medium,At Risk
12625.0,2,2683.82,1612,73,212,107,1341.91,806.0,36.5,0.43795620437956206,Very High,Inactive
12626.0,9,6620.4800000000005,3453,232,23,303,735.6088888888889,383.6666666666667,25.77777777777778,0.8108108108108109,Very High,Active
12627.0,7,4478.53,2752,162,11,129,639.79,393.14285714285717,23.142857142857142,1.3207547169811322,Very High,Active
12628.0,3,786.46,448,34,4,60,262.15333333333336,149.33333333333334,11.333333333333334,1.0,High,Active
12630.0,2,1270.88,548,60,10,34,635.44,274.0,30.0,0.9375,High,Active
12631.0,1,640.5,236,31,57,0,640.5,236.0,31.0,1.0,Medium,Recently Inactive
12633.0,4,2163.98,1162,73,59,229,540.995,290.5,18.25,0.46332046332046334,Very High,Recently Inactive
12635.0,2,1689.18,1172,96,90,65,844.59,586.0,48.0,0.6315789473684211,Very High,Recently Inactive
12637.0,8,6002.9,2994,205,67,256,750.3625,374.25,25.625,0.8391608391608392,Very High,Recently Inactive
12638.0,1,671.69,577,39,33,0,671.69,577.0,39.0,1.0,High,Recently Inactive
12639.0,1,486.1,201,22,239,0,486.1,201.0,22.0,1.0,Medium,Inactive
12640.0,3,1174.58,311,47,24,57,391.52666666666664,103.66666666666667,15.666666666666666,1.0344827586206897,High,Active
12641.0,1,185.9,72,10,115,0,185.9,72.0,10.0,1.0,Low,At Risk
12642.0,3,1013.26,552,39,25,82,337.75333333333333,184.0,13.0,0.8035714285714286,High,Active
12643.0,6,3344.64,1808,11,128,204,557.4399999999999,301.3333333333333,1.8333333333333333,0.7692307692307693,Very High,At Risk
12644.0,1,477.90999999999997,325,31,130,0,477.90999999999997,325.0,31.0,1.0,Medium,At Risk
12645.0,4,1775.18,1084,58,34,282,443.795,271.0,14.5,0.3846153846153846,Very High,Recently Inactive
12646.0,2,1346.97,897,43,5,44,673.485,448.5,21.5,0.8108108108108107,High,Active
12647.0,12,3722.82,1431,78,22,346,310.235,119.25,6.5,0.9574468085106383,Very High,Active
12648.0,1,318.05,160,21,155,0,318.05,160.0,21.0,1.0,Medium,At Risk
12649.0,3,623.51,586,28,107,105,207.83666666666667,195.33333333333334,9.333333333333334,0.6666666666666666,Medium,At Risk
12650.0,1,314.44,254,20,3,0,314.44,254.0,20.0,1.0,Medium,Active
12651.0,1,114.0,78,9,335,0,114.0,78.0,9.0,1.0,Low,Inactive
12652.0,1,919.98,505,48,331,0,919.98,505.0,48.0,1.0,High,Inactive
12653.0,2,2209.85,919,37,149,147,1104.925,459.5,18.5,0.3389830508474576,Very High,At Risk
12654.0,5,601.98,264,31,11,284,120.396,52.8,6.2,0.47770700636942676,Medium,Active
12656.0,5,4051.17,1723,89,17,216,810.234,344.6,17.8,0.6097560975609757,Very High,Active
12657.0,4,1643.18,1044,35,11,67,410.795,261.0,8.75,1.2371134020618557,High,Active
12658.0,1,686.05,320,36,19,0,686.05,320.0,36.0,1.0,High,Active
12659.0,1,91.68,105,5,30,0,91.68,105.0,5.0,1.0,Low,Active
12660.0,1,245.10000000000002,127,13,11,0,245.10000000000002,127.0,13.0,1.0,Low,Active
12662.0,11,3849.78,2058,129,1,372,349.98,187.0909090909091,11.727272727272727,0.8208955223880596,Very High,Active
12664.0,9,4881.88,1203,10,8,314,542.4311111111111,133.66666666666666,1.1111111111111112,0.7848837209302325,Very High,Active
12665.0,1,63.0,37,3,325,0,63.0,37.0,3.0,1.0,Low,Inactive
12667.0,1,620.13,395,33,58,0,620.13,395.0,33.0,1.0,Medium,Recently Inactive
12668.0,4,3807.15,1634,115,12,343,951.7875,408.5,28.75,0.32171581769436997,Very High,Active
12669.0,2,1607.73,1114,97,151,105,803.865,557.0,48.5,0.4444444444444444,High,At Risk
12670.0,5,2996.05,1397,58,10,222,599.21,279.4,11.6,0.5952380952380952,Very High,Active
12672.0,1,225.9,78,10,330,0,225.9,78.0,10.0,1.0,Low,Inactive
12673.0,2,610.52,351,42,5,321,305.26,175.5,21.0,0.17094017094017094,Medium,Active
12674.0,4,1970.6,1133,52,39,169,492.65,283.25,13.0,0.6030150753768844,Very High,Recently Inactive
12676.0,6,1331.39,670,33,25,286,221.89833333333334,111.66666666666667,5.5,0.569620253164557,High,Active
12678.0,12,17628.46,10923,105,42,311,1469.0383333333332,910.25,8.75,1.0557184750733137,Very High,Recently Inactive
12679.0,4,1113.02,554,43,59,225,278.255,138.5,10.75,0.47058823529411764,High,Recently Inactive
