StockCode,Product_Name,Total_Units_Sold,Total_Revenue,Orders,Customers,Average_Price,Revenue_Per_Order,Units_Per_Order,Customer_Penetration,Revenue_Segment
15058A,BLUE POLKADOT GARDEN PARASOL,200,1668.49,89,40,9.208988764044944,18.747078651685392,2.247191011235955,0.922722029988466,High
15058B,PINK POLKADOT GARDEN PARASOL,228,1885.27,97,32,9.890927835051546,19.435773195876287,2.350515463917526,0.7381776239907728,High
15058C,ICE CREAM DESIGN GARDEN PARASOL,240,1429.82,72,26,9.33361111111111,19.85861111111111,3.3333333333333335,0.5997693194925029,High
15060B,FAIRY CAKE DESIGN UMBRELLA,451,1807.55,131,68,4.993053435114504,13.798091603053434,3.4427480916030535,1.5686274509803921,High
15060b,FAIRY CAKE DESIGN UMBRELLA,3,24.869999999999997,3,0,8.29,8.29,1.0,0.0,Low
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,70,54,0.13614285714285712,5.153,41.31428571428572,1.245674740484429,Medium
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,3,3,0.12,1.2,10.0,0.06920415224913494,Low
16011,ANIMAL STICKERS,1749,367.29,46,38,0.21,7.984565217391305,38.02173913043478,0.8765859284890426,Medium
16012,FOOD/DRINK SPONGE STICKERS,1220,256.2,35,33,0.21,7.319999999999999,34.857142857142854,0.7612456747404844,Medium
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,54,34,0.4014814814814815,80.29185185185186,246.8148148148148,0.7843137254901961,Very High
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98,24,19,0.48833333333333334,12.082500000000001,27.583333333333332,0.4382929642445213,Medium
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45,65,41,0.8460000000000001,16.20692307692308,19.584615384615386,0.9457900807381776,High
16020C,CLEAR STATIONERY BOX SET ,84,69.89999999999999,17,1,0.8335294117647059,4.1117647058823525,4.9411764705882355,0.02306805074971165,Low
16033,MINI HIGHLIGHTER PENS,840,100.80000000000001,4,4,0.12,25.200000000000003,210.0,0.0922722029988466,Low
16043,POP ART PUSH DOWN RUBBER ,98,11.759999999999998,2,2,0.12,5.879999999999999,49.0,0.0461361014994233,Low
16045,POPART WOODEN PENCILS ASST,8900,380.0,68,61,0.043478260869565216,5.588235294117647,130.88235294117646,1.4071510957324107,Medium
16046,TEATIME PEN CASE & PENS,65,55.24999999999999,14,13,0.85,3.9464285714285707,4.642857142857143,0.29988465974625145,Low
16048,TEATIME ROUND PENCIL SHARPENER ,1460,205.29999999999998,67,41,0.3280882352941176,3.0641791044776117,21.791044776119403,0.9457900807381776,Medium
16049,TEATIME GEL PENS ASST,504,82.08,5,5,0.24,16.416,100.8,0.11534025374855825,Low
16052,TEATIME PUSH DOWN RUBBER,479,115.3,13,5,0.5892307692307692,8.86923076923077,36.84615384615385,0.11534025374855825,Low
16054,POPART RECT PENCIL SHARPENER ASST,1166,140.52,33,29,0.1290909090909091,4.258181818181819,35.333333333333336,0.6689734717416378,Medium
16151A,FLOWERS HANDBAG blue and orange,49,61.25,3,3,1.25,20.416666666666668,16.333333333333332,0.06920415224913494,Low
16156L,"WRAP, CAROUSEL",475,199.5,18,17,0.42,11.083333333333334,26.38888888888889,0.39215686274509803,Medium
16156S,WRAP PINK FAIRY CAKES ,5800,2331.0,167,135,0.4168862275449102,13.95808383233533,34.73053892215569,3.1141868512110724,Very High
16161G,WRAP BAD HAIR DAY,700,70.0,22,22,0.1,3.1818181818181817,31.818181818181817,0.5074971164936563,Low
16161M,WRAP  PINK FLOCK,25,10.5,1,1,0.42,10.5,25.0,0.02306805074971165,Low
16161P,WRAP ENGLISH ROSE ,7201,2980.42,248,189,0.41943548387096774,12.017822580645161,29.036290322580644,4.359861591695502,Very High
16161U,WRAP SUKI AND FRIENDS,4075,1687.5,134,105,0.41955223880597015,12.593283582089553,30.41044776119403,2.422145328719723,High
16162L,THE KING GIFT BAG,20,13.0,8,5,0.65,1.625,2.5,0.11534025374855825,Low
16162M,THE KING GIFT BAG 25x24x12cm,28,11.76,8,6,0.42,1.47,3.5,0.13840830449826988,Low
16168M,FUNKY MONKEY GIFT BAG MEDIUM,371,173.12,41,19,0.6314634146341463,4.222439024390244,9.048780487804878,0.4382929642445213,Medium
16169E,WRAP 50'S  CHRISTMAS,4563,1892.46,149,143,0.41919999999999996,12.701073825503356,30.624161073825505,3.298731257208766,High
16169K,WRAP FOLK ART,200,84.0,8,8,0.42,10.5,25.0,0.1845444059976932,Low
16169M,WRAP DAISY CARPET ,660,277.2,25,24,0.42,11.088,26.4,0.5536332179930795,Medium
16169N,WRAP BLUE RUSSIAN FOLKART,25,10.5,1,1,0.42,10.5,25.0,0.02306805074971165,Low
16169P,WRAP GREEN RUSSIAN FOLKART ,50,21.0,2,2,0.42,10.5,25.0,0.0461361014994233,Low
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,2,2,0.5,1.75,3.5,0.0461361014994233,Low
16202B,PASTEL BLUE PHOTO ALBUM ,29,14.5,2,2,0.5,7.25,14.5,0.0461361014994233,Low
16202E,BLACK PHOTO ALBUM ,15,7.5,3,3,0.5,2.5,5.0,0.06920415224913494,Low
16206B,RED PURSE WITH PINK HEART,7,8.75,2,2,1.25,4.375,3.5,0.0461361014994233,Low
16207A,PINK STRAWBERRY HANDBAG ,60,163.1,34,4,2.751764705882353,4.797058823529412,1.7647058823529411,0.0922722029988466,Medium
16207B,PINK HEART RED HANDBAG,29,76.14,18,3,2.6994444444444445,4.23,1.6111111111111112,0.06920415224913494,Low
16216,LETTER SHAPE PENCIL SHARPENER,3333,234.0,45,38,0.15244444444444444,5.2,74.06666666666666,0.8765859284890426,Medium
16218,CARTOON  PENCIL SHARPENERS,3821,283.31,64,43,0.26984375,4.42671875,59.703125,0.991926182237601,Medium
16219,HOUSE SHAPE PENCIL SHARPENER,3048,407.71999999999997,100,41,0.5172,4.0771999999999995,30.48,0.9457900807381776,Medium
16225,RATTLE SNAKE EGGS,813,689.35,102,57,1.4634313725490198,6.758333333333334,7.970588235294118,1.314878892733564,High
16235,RECYCLED PENCIL WITH RABBIT ERASER,3068,695.4,168,68,0.3164880952380952,4.139285714285714,18.261904761904763,1.5686274509803921,High
16236,KITTY PENCIL ERASERS,1438,320.09,136,59,0.30455882352941177,2.3536029411764705,10.573529411764707,1.3610149942329872,Medium
16237,SLEEPING CAT ERASERS,4991,1047.93,290,109,0.29846938775510207,3.613551724137931,17.21034482758621,2.51441753171857,High
16238,PARTY TIME PENCIL ERASERS,1396,321.67,134,61,0.3123880597014925,2.4005223880597018,10.417910447761194,1.4071510957324107,Medium
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,7.85,2,2,1.225,3.925,3.5,0.0461361014994233,Low
16248B,BLUE HOLE PUNCH,13,16.25,7,7,1.25,2.3214285714285716,1.8571428571428572,0.16147635524798157,Low
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,40,42.58,17,7,1.3088235294117647,2.504705882352941,2.3529411764705883,0.16147635524798157,Low
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,472,178.97,59,29,0.5913559322033899,3.0333898305084745,8.0,0.6689734717416378,Medium
16259,PIECE OF CAMO STATIONERY SET,3380,326.56,31,28,0.0967741935483871,10.534193548387098,109.03225806451613,0.6459054209919263,Medium
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88,1,1,0.29,20.88,72.0,0.02306805074971165,Low
17003,BROCADE RING PURSE ,23020,6025.95,239,136,0.363402489626556,25.21317991631799,96.31799163179916,3.1372549019607843,Very High
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,50.400000000000006,2,2,2.1,25.200000000000003,12.0,0.0461361014994233,Low
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,81,66.36,7,6,1.5728571428571427,9.48,11.571428571428571,0.13840830449826988,Low
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,323,375.93,65,21,1.9546969696969696,5.783538461538462,4.969230769230769,0.4844290657439446,Medium
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,525,595.85,85,33,1.8828235294117646,7.010000000000001,6.176470588235294,0.7612456747404844,Medium
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,420,481.79999999999995,85,37,1.7676470588235293,5.668235294117647,4.9411764705882355,0.8535178777393311,Medium
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,461,547.24,97,35,1.8228865979381443,5.6416494845360825,4.752577319587629,0.8073817762399077,Medium
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,44,62.64,10,3,2.3169999999999997,6.264,4.4,0.06920415224913494,Low
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,448,530.6,94,33,1.7973404255319148,5.64468085106383,4.76595744680851,0.7612456747404844,Medium
17013D,ORIGAMI ROSE INCENSE IN TUBE,535,267.82,13,10,1.2453846153846153,20.60153846153846,41.15384615384615,0.2306805074971165,Medium
17014A,ORIGAMI VANILLA INCENSE CONES,155,71.19,8,7,0.9512499999999999,8.89875,19.375,0.16147635524798157,Low
17021,NAMASTE SWAGAT INCENSE,2391,632.34,47,30,0.29411764705882354,13.45404255319149,50.87234042553192,0.6920415224913495,Medium
17028J,INCENSE BAZAAR PEACH,6,2.52,1,1,0.42,2.52,6.0,0.02306805074971165,Low
17038,PORCELAIN BUDAH INCENSE HOLDER,1525,158.06,34,18,0.42,4.648823529411764,44.85294117647059,0.4152249134948097,Medium
17084A,TRANQUILITY MASALA INCENSE,200,42.0,7,7,0.21,6.0,28.571428571428573,0.16147635524798157,Low
17084J,LOVE POTION MASALA INCENSE,225,47.25,8,8,0.21,5.90625,28.125,0.1845444059976932,Low
17084N,FAIRY DREAMS INCENSE ,1264,313.31,101,25,0.3538613861386139,3.102079207920792,12.514851485148515,0.5767012687427913,Medium
17084P,DRAGONS BLOOD INCENSE,423,104.44,39,12,0.3507692307692308,2.677948717948718,10.846153846153847,0.27681660899653976,Low
17084R,ASSORTED INCENSE PACK,4032,760.3199999999999,27,16,0.20259259259259257,28.159999999999997,149.33333333333334,0.3690888119953864,High
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,107.45,10,9,1.17,10.745000000000001,10.9,0.20761245674740486,Low
17090D,VANILLA INCENSE 40 CONES IN TIN,29,36.25,12,6,1.25,3.0208333333333335,2.4166666666666665,0.13840830449826988,Low
17091A,LAVENDER INCENSE IN TIN,171,98.91,25,19,0.7976000000000001,3.9564,6.84,0.4382929642445213,Low
17091J,VANILLA INCENSE IN TIN,2084,920.67,95,66,0.7027272727272726,9.691263157894737,21.936842105263157,1.5224913494809689,High
17096,ASSORTED LAQUERED INCENSE HOLDERS,2545,455.9800000000001,24,12,0.3025,18.99916666666667,106.04166666666667,0.27681660899653976,Medium
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",170,433.5,46,42,2.55,9.423913043478262,3.6956521739130435,0.9688581314878892,Medium
17109D,FLOWER FAIRY INCENSE BOUQUET,61,32.349999999999994,5,4,0.9039999999999999,6.469999999999999,12.2,0.0922722029988466,Low
17129F,BLUE GLASS GEMS IN BAG,588,553.8299999999999,57,11,1.37,9.716315789473683,10.31578947368421,0.2537485582468281,Medium
17136A,BLUE STONES ON WIRE FOR CANDLE,352,29.59,17,16,0.10294117647058823,1.7405882352941175,20.705882352941178,0.3690888119953864,Low
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27,11.34,9,9,0.42,1.26,3.0,0.20761245674740486,Low
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,7,6,1.05,4.05,3.857142857142857,0.13840830449826988,Low
17174,ASSTD RASTA KEY-CHAINS,9,3.7800000000000002,3,3,0.42,1.26,3.0,0.06920415224913494,Low
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,15.0,2,1,3.75,7.5,2.0,0.02306805074971165,Low
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5884,395.61,30,15,0.27483870967741936,13.187000000000001,196.13333333333333,0.34602076124567477,Medium
18094C,WHITE AND BLUE CERAMIC OIL BURNER,192,283.93,42,13,1.955952380952381,6.760238095238096,4.571428571428571,0.29988465974625145,Medium
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,12.75,4,4,2.55,3.1875,1.25,0.0922722029988466,Low
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,695,1591.01,69,43,3.114782608695652,23.058115942028984,10.072463768115941,0.991926182237601,High
18098C,PORCELAIN BUTTERFLY OIL BURNER,213,658.75,49,24,3.680980392156863,13.443877551020408,4.346938775510204,0.5536332179930795,Medium
18098c,PORCELAIN BUTTERFLY OIL BURNER,52,263.12,12,0,5.06,21.926666666666666,4.333333333333333,0.0,Medium
20615,BLUE POLKADOT PASSPORT COVER,309,466.99,95,28,2.5613684210526313,4.915684210526316,3.2526315789473683,0.6459054209919263,Medium
20616,CHERRY BLOSSOM PASSPORT COVER,194,243.53,71,19,1.8074647887323942,3.43,2.732394366197183,0.4382929642445213,Medium
20617,FIRST CLASS PASSPORT COVER ,93,194.94,43,20,2.251860465116279,4.533488372093023,2.1627906976744184,0.461361014994233,Medium
20618,QUEEN OF THE SKIES PASSPORT COVER ,148,286.39,76,20,2.0278947368421054,3.7682894736842103,1.9473684210526316,0.461361014994233,Medium
20619,TROPICAL PASSPORT COVER ,262,439.65,99,16,2.136767676767677,4.4409090909090905,2.6464646464646466,0.3690888119953864,Medium
20622,VIPPASSPORT COVER ,185,303.7,51,24,2.4062745098039215,5.954901960784314,3.627450980392157,0.5536332179930795,Medium
20652,BLUE POLKADOT LUGGAGE TAG ,265,346.86,78,26,1.575897435897436,4.446923076923077,3.3974358974358974,0.5997693194925029,Medium
20653,CHERRY BLOSSOM LUGGAGE TAG,73,95.17999999999999,33,5,1.4815151515151515,2.884242424242424,2.212121212121212,0.11534025374855825,Low
20654,FIRST CLASS LUGGAGE TAG ,152,193.59,49,21,1.385,3.9508163265306124,3.1020408163265305,0.4844290657439446,Medium
20655,QUEEN OF SKIES LUGGAGE TAG,197,292.29,99,20,1.7224242424242426,2.9524242424242426,1.9898989898989898,0.461361014994233,Medium
20657,TROPICAL LUGGAGE TAG,73,105.91,33,20,1.720909090909091,3.2093939393939395,2.212121212121212,0.461361014994233,Low
20658,RED RETROSPOT LUGGAGE TAG,433,652.11,105,44,1.7522429906542056,6.210571428571429,4.123809523809523,1.0149942329873125,Medium
20659,ECONOMY LUGGAGE TAG,158,246.84,62,18,1.63984375,3.9812903225806453,2.5483870967741935,0.4152249134948097,Medium
20661,BLUE POLKADOT PURSE ,44,141.15,33,3,3.397878787878788,4.277272727272727,1.3333333333333333,0.06920415224913494,Medium
20662,FIRST CLASS HOLIDAY PURSE ,31,90.42,20,4,2.879,4.521,1.55,0.0922722029988466,Low
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,25,66.26,20,3,2.693,3.313,1.25,0.06920415224913494,Low
20664,TROPICAL HOLIDAY PURSE ,32,81.66,18,3,2.5416666666666665,4.536666666666666,1.7777777777777777,0.06920415224913494,Low
20665,RED RETROSPOT PURSE ,461,1546.2700000000002,156,58,4.068333333333333,9.91198717948718,2.9551282051282053,1.3379469434832756,High
20666,ECONOMY HOLIDAY PURSE,30,41.53,17,4,1.7123529411764706,2.442941176470588,1.7647058823529411,0.0922722029988466,Low
20667,CHERRY BLOSSOM PURSE,20,49.69,16,1,2.490625,3.105625,1.25,0.02306805074971165,Low
20668,DISCO BALL CHRISTMAS DECORATION,12883,1501.4,215,111,0.16444954128440367,6.983255813953488,59.92093023255814,2.5605536332179932,High
20669,RED HEART LUGGAGE TAG,304,447.34,96,36,1.6915841584158415,4.659791666666666,3.1666666666666665,0.8304498269896194,Medium
20670,VIP HOLIDAY PURSE,14,44.04,11,5,3.2436363636363637,4.003636363636364,1.2727272727272727,0.11534025374855825,Low
20671,BLUE TEATIME PRINT BOWL ,10,12.5,2,2,1.25,6.25,5.0,0.0461361014994233,Low
20674,GREEN POLKADOT BOWL,1563,2016.23,205,101,1.5633009708737866,9.835268292682928,7.624390243902439,2.3298731257208765,High
20675,BLUE POLKADOT BOWL,3120,3983.12,322,149,1.5869753086419751,12.369937888198757,9.68944099378882,3.4371395617070357,Very High
20676,RED RETROSPOT BOWL,5023,6374.81,448,185,1.631751662971175,14.229486607142858,11.212053571428571,4.2675893886966545,Very High
20677,PINK POLKADOT BOWL,3674,4747.34,333,133,1.6501483679525224,14.256276276276276,11.033033033033034,3.068050749711649,Very High
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,1,1,1.65,6.6,4.0,0.02306805074971165,Low
20679,EDWARDIAN PARASOL RED,1710,10021.42,326,141,7.003669724770643,30.740552147239264,5.245398773006135,3.2525951557093427,Very High
20681,PINK POLKADOT CHILDRENS UMBRELLA,140,506.96,46,29,4.205744680851064,11.02086956521739,3.0434782608695654,0.6689734717416378,Medium
20682,RED RETROSPOT CHILDRENS UMBRELLA,1235,4171.33,237,138,4.018487394957983,17.60054852320675,5.210970464135021,3.183391003460208,Very High
20684,STRAWBERRY DREAM CHILDS UMBRELLA,80,270.56,35,30,3.5517142857142856,7.730285714285714,2.2857142857142856,0.6920415224913495,Medium
20685,DOORMAT RED RETROSPOT,4088,28049.54,696,329,8.953529411764706,40.30106321839081,5.873563218390805,7.589388696655133,Very High
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,267,922.67,77,51,3.8718181818181816,11.982727272727272,3.4675324675324677,1.1764705882352942,High
20694,FLORAL PINK MONSTER,43,187.54,16,9,5.078235294117647,11.72125,2.6875,0.20761245674740486,Medium
20695,FLORAL BLUE MONSTER,5,21.25,4,4,4.25,5.3125,1.25,0.0922722029988466,Low
20696,FLORAL SOFT CAR TOY,54,230.81,30,10,4.7219999999999995,7.693666666666667,1.8,0.2306805074971165,Medium
20697,LITTLE GREEN MONSTER SOFT TOY,19,48.449999999999996,11,8,2.55,4.404545454545454,1.7272727272727273,0.1845444059976932,Low
20698,LITTLE PINK MONSTER SOFT TOY,17,43.349999999999994,8,7,2.55,5.418749999999999,2.125,0.16147635524798157,Low
20699,MOUSEY LONG LEGS SOFT TOY,97,266.03,41,11,3.0048780487804874,6.488536585365853,2.3658536585365852,0.2537485582468281,Medium
20700,GREEN CAT FLORAL CUSHION COVER ,73,345.17,54,4,4.981111111111112,6.392037037037038,1.3518518518518519,0.0922722029988466,Medium
20701,PINK CAT FLORAL CUSHION COVER ,25,100.97,18,3,4.066666666666666,5.609444444444445,1.3888888888888888,0.06920415224913494,Low
20702,PINK PADDED MOBILE,134,573.54,42,31,4.346190476190476,13.655714285714286,3.1904761904761907,0.7151095732410611,Medium
20703,BLUE PADDED SOFT MOBILE,1,4.25,1,1,4.25,4.25,1.0,0.02306805074971165,Low
20704,MR ROBOT SOFT TOY,216,697.7,44,38,5.847727272727273,15.856818181818182,4.909090909090909,0.8765859284890426,High
20705,MRS ROBOT SOFT TOY,143,428.85,28,27,4.807142857142857,15.31607142857143,5.107142857142857,0.6228373702422145,Medium
20707,CRAZY DAISY HEART DECORATION,464,468.39,149,20,1.0885906040268456,3.1435570469798657,3.1140939597315436,0.461361014994233,Medium
20711,JUMBO BAG TOYS ,5007,11014.62,522,152,3.1267175572519084,21.100804597701153,9.591954022988507,3.5063437139561704,Very High
20712,JUMBO BAG WOODLAND ANIMALS,9773,22092.420000000002,863,248,2.9266168009205984,25.599559675550406,11.324449594438008,5.7208765859284885,Very High
20713,JUMBO BAG OWLS,11429,23001.06,657,207,2.7772809667673717,35.00922374429224,17.395738203957382,4.775086505190312,Very High
20716,PARTY FOOD SHOPPER BAG,400,469.63,73,31,1.3158108108108109,6.433287671232876,5.47945205479452,0.7151095732410611,Medium
20717,STRAWBERRY SHOPPER BAG,2855,3561.98,412,150,1.6730215827338129,8.645582524271845,6.929611650485437,3.4602076124567476,Very High
20718,RED RETROSPOT SHOPPER BAG,4769,6604.29,575,236,1.7783737024221455,11.485721739130435,8.29391304347826,5.444059976931949,Very High
20719,WOODLAND CHARLOTTE BAG,13290,16744.45,833,238,1.2108571428571429,20.10138055222089,15.95438175270108,5.490196078431373,Very High
20723,STRAWBERRY CHARLOTTE BAG,9793,12548.15,722,230,1.2022176308539945,17.379709141274237,13.563711911357341,5.3056516724336795,Very High
20724,RED RETROSPOT CHARLOTTE BAG,17761,21773.39,1032,335,1.1461973180076628,21.098246124031007,17.210271317829456,7.7277970011534025,Very High
20725,LUNCH BAG RED RETROSPOT,19432,35862.36,1565,532,2.1314222503160556,22.915246006389776,12.416613418530352,12.272202998846597,Very High
20726,LUNCH BAG WOODLAND,9909,18283.78,1017,372,2.1818446601941743,17.978151425762043,9.743362831858407,8.581314878892734,Very High
20727,LUNCH BAG  BLACK SKULL.,12195,22346.96,1273,458,2.1077863182167564,17.554564021995287,9.57973291437549,10.565167243367936,Very High
20728,LUNCH BAG CARS BLUE,11786,21699.48,1150,479,2.063580034423408,18.86911304347826,10.248695652173913,11.04959630911188,Very High
20731,POSY CANDY BAG,92,109.96,16,8,1.0925,6.8725,5.75,0.1845444059976932,Low
20733,GOLD MINI TAPE MEASURE ,1234,956.36,205,30,0.845873786407767,4.665170731707317,6.019512195121951,0.6920415224913495,High
20734,SILVER MINI TAPE MEASURE ,158,271.21999999999997,26,0,1.7962962962962963,10.43153846153846,6.076923076923077,0.0,Medium
20735,BLACK MINI TAPE MEASURE ,623,625.8,112,11,1.1194642857142856,5.5874999999999995,5.5625,0.2537485582468281,Medium
20748,KENSINGTON COFFEE SET,57,751.17,34,26,13.468235294117648,22.093235294117648,1.6764705882352942,0.5997693194925029,High
20749,ASSORTED COLOUR MINI CASES,1762,12550.57,383,239,8.065298701298701,32.76911227154047,4.600522193211488,5.513264129181084,Very High
20750,RED RETROSPOT MINI CASES,1747,12634.98,385,235,8.121839378238343,32.818129870129866,4.537662337662337,5.4209919261822375,Very High
20751,FUNKY WASHING UP GLOVES ASSORTED,971,2041.5200000000002,198,127,2.3687192118226603,10.310707070707071,4.904040404040404,2.9296424452133794,High
20752,BLUE POLKADOT WASHING UP GLOVES,407,920.45,148,91,2.41722972972973,6.219256756756757,2.75,2.09919261822376,High
20754,RETROSPOT RED WASHING UP GLOVES,1457,3088.86,304,153,2.5132573289902282,10.160723684210527,4.792763157894737,3.5294117647058822,Very High
20755,BLUE PAISLEY POCKET BOOK,306,271.16999999999996,62,44,0.9903225806451613,4.373709677419354,4.935483870967742,1.0149942329873125,Medium
20756,GREEN FERN POCKET BOOK,63,53.55,22,20,0.85,2.434090909090909,2.8636363636363638,0.461361014994233,Low
20757,RED DAISY POCKET BOOK ,158,136.64,33,30,0.9188235294117647,4.140606060606061,4.787878787878788,0.6920415224913495,Medium
20758,ABSTRACT CIRCLES POCKET BOOK,159,135.14999999999998,42,35,0.85,3.2178571428571425,3.7857142857142856,0.8073817762399077,Medium
20759,CHRYSANTHEMUM POCKET BOOK ,64,54.4,20,17,0.85,2.7199999999999998,3.2,0.39215686274509803,Low
20760,GARDEN PATH POCKET BOOK,69,58.65,21,18,0.85,2.7928571428571427,3.2857142857142856,0.4152249134948097,Low
20761,BLUE PAISLEY SKETCHBOOK,120,505.97,63,46,4.461746031746031,8.031269841269841,1.9047619047619047,1.061130334486736,Medium
20762,GREEN FERN SKETCHBOOK ,106,420.08,56,42,4.153214285714286,7.501428571428571,1.8928571428571428,0.9688581314878892,Medium
20763,DAISY SKETCHBOOK ,73,205.04,27,24,3.9829629629629633,7.594074074074074,2.7037037037037037,0.5536332179930795,Medium
20764,ABSTRACT CIRCLES SKETCHBOOK ,142,603.3100000000001,76,45,4.66961038961039,7.938289473684211,1.868421052631579,1.0380622837370241,Medium
20765,CHRYSANTHEMUM SKETCHBOOK ,102,416.05,59,45,4.255762711864407,7.051694915254237,1.728813559322034,1.0380622837370241,Medium
20766,GARDEN PATH SKETCHBOOK,122,493.57,57,41,4.450862068965517,8.659122807017544,2.1403508771929824,0.9457900807381776,Medium
20767,BLUE PAISLEY JOURNAL ,250,656.0600000000001,79,50,2.8722784810126583,8.304556962025318,3.1645569620253164,1.1534025374855825,Medium
20768,GREEN FERN JOURNAL ,176,438.57,55,31,2.647272727272727,7.974,3.2,0.7151095732410611,Medium
20769,DAISY JOURNAL ,80,217.56,34,21,2.7467647058823528,6.398823529411764,2.3529411764705883,0.4844290657439446,Medium
